CLAVE;or_fem;or_masc;dest_fem;dest_masc;POLIG;ETAPA;Cruce_C;Acera;Ubicacion;X_1;Y_1;Puertos;biciestacorta;len_confi;len_segre;transmas;paradatp;area_averde;pobocup;abarrotes;bancos;bares;comidacafe;gobierno;estmibici;puertmibici;recreat;edubascimed;educativo;hospitales;servmedic;universidad;superdepa;intersec
GDL-065;377;774;338;644;Guadalajara Centro;1ra ETAPA;C. SimÛn Bolivar / Av. La Paz;Poniente;Arroyo Vehicular;-103,372588;20,6722064;15;0;922,1916522;0;0;8;0;4703;2;4;4;35;3;4;60;4;0;9;0;17;5;2;192
GDL-066;381;704;363;700;Guadalajara Centro;1ra ETAPA;C. Lerdo de Tejada/C Gral. Sn MartÌn;Sur;Arroyo Vehicular;-103,371786;20,671364;15;0;445,152237;0;0;8;0;3569;2;1;5;24;4;2;30;1;2;12;0;19;8;1;216
GDL-067;755;1532;686;1388;Guadalajara Centro;1ra ETAPA;Calzada Federalismo / C. Vidrio;Poniente;Banqueta;-103,3555917;20,6668825;19;1;986,0577672;0;1;5;0;2628,5;10;1;0;6;0;0;0;0;5;2;0;9;1;1;312
GDL-068;532;1093;466;1223;Guadalajara Centro;1ra ETAPA;C. Guadalupe Zuno / Av. Chapultepec;Norte;Arroyo Vehicular;-103,368306;20,670512;19;0;316,5610927;62,13060218;0;6;12396,33;3891,5;3;15;14;33;3;2;34;5;2;11;0;7;4;1;186
GDL-069;285;617;252;548;Guadalajara Centro;1ra ETAPA;C. Colonias / C. Guadalupe Zuno;Poniente;Arroyo Vehicular;-103,366071;20,670468;15;0;350,9108739;223,0820118;0;4;0;2399;4;3;3;13;2;2;38;3;0;8;0;14;3;0;240
GDL-070;550;957;536;909;Guadalajara Centro;1ra ETAPA;Av. La Paz / C. Juan de Ojeda;Norte;Arroyo Vehicular;-103,363633;20,671455;11;0;495,7321181;0;0;4;1772,6479;1848;5;0;3;22;2;2;34;0;0;6;0;16;2;0;324
GDL-071;532;1025;537;1042;Guadalajara Centro;1ra ETAPA;Av. La Paz /Av.Enrique DÌaz de LeÛn;Norte;Arroyo Vehicular;-103,359537;20,670362;15;0;499,0850936;97,47743645;0;11;1215,5208;1779;8;1;0;26;1;2;34;1;2;9;0;13;4;2;252
GDL-072;331;686;294;589;Guadalajara Centro;1ra ETAPA;Av. La Paz / C. Camarena;Norte;Banqueta;-103,357589;20,67056;15;0;487,5249759;0;0;10;6132,6899;1309,5;11;1;2;28;0;1;15;1;5;5;0;13;3;3;276
GDL-073;760;1749;725;1575;Guadalajara Centro;1ra ETAPA;Av. La Paz / Av. Federalismo;Norte;Banqueta;-103,355032;20,669955;19;0;1477,760927;0;0;4;6132,6899;1468,5;10;4;2;13;0;1;15;0;4;5;1;12;3;2;300
GDL-074;122;537;145;544;Guadalajara Centro;1ra ETAPA;C. Enrique Gonz·lez / C. Libertad;Poniente;Arroyo Vehicular;-103,351651;20,67131;11;0;208,0659455;0;0;14;0;2006,5;14;2;3;19;1;1;11;1;1;4;0;12;3;1;294
GDL-075;171;533;171;607;Guadalajara Centro;1ra ETAPA;C. Pedro Rioseco /C. Nueva Galicia;Poniente;Andador;-103,348768;20,669628;11;0;527,4155273;0;0;16;1252,802;2898,5;10;11;7;33;6;0;0;2;3;6;0;2;2;3;242
GDL-076;207;815;229;1181;Guadalajara Centro;1ra ETAPA;C. RamÛn Corona / C. Libertad;Oriente;Arroyo Vehicular;-103,346195;20,670243;15;1;963,7841142;122,6987076;2;15;4807,6878;3068;13;18;9;29;3;2;34;2;2;9;0;2;3;7;394
GDL-077;375;866;333;823;Guadalajara Centro;1ra ETAPA;C. Argentina / C. Pedro Moreno;Oriente;Arroyo Vehicular;-103,36134;20,675631;15;0;699,1098296;0;0;15;0;2415;5;1;6;35;3;2;30;2;2;15;0;12;12;2;258
GDL-078;502;1263;632;1269;Guadalajara Centro;1ra ETAPA;C. Comercio / C. La Paz;Poniente;Banqueta;-103,346775;20,667946;15;0;312,8597155;0;1;13;0;2243;3;5;3;14;4;1;15;2;0;4;0;0;1;1;250
GDL-079;257;643;293;683;Guadalajara Centro;1ra ETAPA;C. Donato Guerra /Av. La Paz;Poniente;Banqueta3;-103,3513022;20,6688627;11;0;494,8197417;0;0;7;860,7348;1409;11;1;1;16;0;1;15;0;1;0;1;5;0;1;270
GDL-080;384;803;377;763;Guadalajara Centro;1ra ETAPA;C. Manuel AcuÒa / Av. AmÈricas;Sur;Arroyo Vehicular;-103,373252;20,68432;15;0;138,6585258;0;0;12;0;2343,5;27;7;1;26;0;0;0;2;3;4;0;27;2;0;276
GDL-081;279;532;289;492;Guadalajara Centro;1ra ETAPA;C. Venezuela / Av. NiÒos HÈroes;Oriente;Banqueta;-103,363338;20,667352;11;0;0;443,0425281;0;4;1772,6479;2405,5;15;1;1;31;2;1;15;2;1;3;0;6;1;0;222
GDL-082;279;622;230;579;Guadalajara Centro;1ra ETAPA;C. Gdpe. Montenegro/C.NuÒo de Guzman;Norte;Arroyo Vehicular;-103,362535;20,669326;15;0;355,5939283;436,834108;0;1;1772,6479;1990;11;0;1;26;1;2;22;2;1;4;0;15;0;0;240
GDL-083;425;948;385;966;Guadalajara Centro;1ra ETAPA;C. Vidrio / Av. Enrique DÌaz;Norte;Arroyo Vehicular;-103,3595222;20,667532;15;0;0;254,4548569;0;7;0;2774;10;10;1;22;2;0;0;1;0;2;0;12;0;1;222
GDL-084;593;1082;565;1110;Guadalajara Centro;1ra ETAPA;C. Montenegro / Av. Chapultepec;Sur;Arroyo Vehicular;-103,368312;20,669306;19;0;0;454,887492;0;6;15050,817;2603;4;12;10;38;1;3;53;3;3;10;0;17;3;1;222
GDL-085;225;399;128;318;Guadalajara Centro;1ra ETAPA;C. Gdpe. Zuno/ Av. UniÛn;Norte;Arroyo Vehicular;-103,373378;20,670426;15;0;310,5278852;83,24726305;0;9;0;4072;2;2;0;20;4;3;41;1;1;10;0;24;6;1;240
GDL-086;132;580;90;511;Guadalajara Centro;1ra ETAPA;C. SimÛn Bolivar / Av. NiÒos HÈroes;Oriente;Arroyo Vehicular;-103,372444;20,66704;15;0;721,2811977;418,959643;0;10;0;2775;2;2;0;12;0;2;22;0;1;7;0;17;2;2;222
ZPN-001;48;53;44;59;Zapopan Centro;1ra ETAPA;C. Emilio Carranza / Carretera Tesistan;Oriente;Arroyo Vehicular;-103,396083;20,73244;15;0;968,8690175;0;0;4;0;622,5;25;1;0;6;1;0;0;0;4;1;0;5;0;2;228
ZPN-002;82;283;84;283;Zapopan Centro;1ra ETAPA;C. Emilio Carranza /C. Independencia;Poniente;Arroyo Vehicular;-103,397466;20,726376;11;0;0;0;0;2;1465,0631;600,5;35;0;0;28;1;0;0;0;1;2;0;7;0;2;288
ZPN-003;117;203;62;239;Zapopan Centro;1ra ETAPA;C. Emilio Carranza / Av. Hidalgo;Poniente;Arroyo Vehicular;-103,398071;20,723081;11;0;0;0;0;10;5852,4349;519;23;0;0;25;0;0;0;1;3;3;0;14;0;2;420
GDL-220;70;261;167;463;Alcalde Barranquitas;4ta ETAPA;Av. CientÌficos / C. FilÛsofos;Norte;Arroyo Vehicular;-103,342347;20,69995;19;0;0;0;0;5;12027,3345;515;23;2;4;34;1;1;15;3;3;4;0;15;0;1;252
ZPN-005;24;101;29;39;Zapopan Centro;1ra ETAPA;C. Del Corral/ C. Anahuac;Norte;Arroyo Vehicular;-103,394267;20,730841;11;0;955,9411421;0;0;3;0;598,5;21;1;1;19;0;1;15;1;2;1;0;4;0;2;276
ZPN-006;59;275;66;200;Zapopan Centro;1ra ETAPA;C. Sta. Rita / Av. Avila Camacho;Sur;Arroyo Vehicular;-103,386768;20,71953;15;0;1203,735655;231,9154635;0;8;16977,9462;1546;4;17;3;24;2;2;26;1;1;1;3;3;0;3;162
ZPN-008;53;169;36;134;Zapopan Centro;1ra ETAPA;C. Vicente Guerrero / Av. Hidalgo;Oriente;Arroyo Vehicular;-103,39427;20,72201;19;0;0;0;0;10;3259,4039;1809,5;23;6;4;44;6;1;11;2;4;7;0;25;2;2;294
ZPN-010;33;190;29;191;Zapopan Centro;1ra ETAPA;C. Ramon Corona / C. Cuauhtemoc;Norte;Arroyo Vehicular;-103,394585;20,723889;11;0;0;0;0;8;0;1929;30;3;4;51;4;1;19;1;5;5;1;22;2;3;282
ZPN-011;17;52;5;49;Zapopan Centro;1ra ETAPA;C Pino Suarez / C. Lopez Cotilla;Sur;Arroyo Vehicular;-103,389242;20,726558;11;0;90,31295613;0;0;6;7157,5998;971;31;2;1;23;1;1;19;9;1;3;0;8;1;2;204
ZPN-012;215;650;122;536;Zapopan Centro;1ra ETAPA;C. Pino Suarez / Av. Juan Pablo II;Oriente;Arroyo Vehicular;-103,390297;20,728538;19;0;1219,75086;0;0;11;9572,0328;1211,5;31;10;2;35;3;2;42;1;0;2;0;10;1;1;334
ZPN-013;67;210;67;192;Zapopan Centro;1ra ETAPA;C. Eva Briseno / C. Javier Mina;Oriente;Andador;-103,391894;20,720438;15;0;0;0;0;9;53755,4782;2269;40;13;5;67;12;1;19;3;8;3;0;4;0;2;162
ZPN-014;28;68;3;33;Zapopan Centro;1ra ETAPA;C. Plata / Av. Laureles;Sur;Arroyo Vehicular;-103,3997461;20,7352743;11;0;987,7973236;0;0;5;0;1484;6;4;0;9;0;3;37;1;3;1;0;2;0;0;114
ZPN-015;62;201;45;189;Zapopan Centro;1ra ETAPA;Blvr. de la Espuela / Blvr. Charros;Sur;Arroyo Vehicular;-103,394636;20,735255;11;0;0;0;0;2;4013,1085;920,5;22;0;0;12;3;0;0;1;23;1;0;5;0;0;246
ZPN-016;126;262;75;294;Zapopan Centro;1ra ETAPA;Av. Hidalgo/ C. Emiliano Zapata;Norte;Banqueta;-103,3902;20,721643;19;0;0;0;0;7;64707,9986;3362;56;22;7;87;19;2;26;4;5;4;1;22;2;4;240
ZPN-017;28;99;44;60;Zapopan Centro;1ra ETAPA;C. Juan Manuel/ C. Pedro Moreno;Sur;Arroyo Vehicular;-103,388657;20,72374;15;0;759,7809009;0;0;5;5452,8444;1392;27;3;0;28;4;0;0;9;4;4;0;21;2;4;216
